"","Incident","Location","Reported","Occurred","Comments","Disposition","UCPDI#","latitude","longitude"
"129","Theft","1526 E. 55th St. (Treasure Island)","9/20/14 2:20 PM","9/20/14 1:15 PM","Individual took merchandise from store without paying / Arrest by UCPD","Arrest","D00820",41.795363,-87.589125
"130","Theft","5530 S. Ellis (Ratner A.C. Bike Rack)","9/20/14 6:18 PM","9/20/14 5:20 PM to 6:10 PM","Secured bicycle taken from bike rack by unknown person","Open","D00821",41.794467,-87.601449
"131","Theft","5550 S. University (Crown Field House Bike Rack)","9/20/14 8:47 PM","9/20/14 12:00 AM to 1:00 PM","Secured bicycle taken from bike rack by unknown person","Open","D00822",41.794133,-87.598221
"132","Information","5405 S. Drexel","9/19/14 12:07 AM","9/19/14 12:01 AM","Unknown suspect implied a weapon took property from a victim walking on the sidewalk off campus / CPD case HX434107","CPD","D00814",41.797772,-87.603809
"133","Information","6054 S. Drexel","9/19/14 11:35 AM","7/7/14 12:00 AM","Damaged side view mirror of UC owned vehicle was noted / Cause unknown","Closed","D00815",41.784763,-87.604481
"134","Information","6054 S. Drexel (Parking Structure)","9/19/14 10:11 AM","9/19/14 8:55 AM","UC  owned vehicle involved in accident with a parked vehicle / Property damage only / MVA00292","Closed","D00816",41.784763,-87.604481
"135","Theft","5530 S. Ellis (Ratner A.C.)","9/19/14 1:40 PM","8/28/14 to 9/7/14 8:00 AM to 2:45 PM","Gym shoes taken from unsecured locker","Open","D00817",41.794467,-87.601449
"136","Burglary","900 E. 57th St. (Knapp Center)","9/19/14 4:13 PM","9/19/14 4:10 PM","Suspect unlawfully entered an office and took items from a purse and desk top / Arrested by UCPD / Charged with burglary and possession of heroin","Arrest","D00818",41.791364,-87.603741
"137","Theft","5700 S. Maryland (CCD)","9/18/14 2:46 PM","8/25/14 6:00 PM to 8:00 PM","Cash taken from wallet left in unattended bag in OR hallway / Suspect was identified and taken into custody by UCPD Investigations on 10/7/14","Arrest","D00813",42.003129,-89.549033
"138","Information","6054 S. Drexel","9/17/14 2:43 AM","9/16/14 11:30 PM","Staff member suffered apparent insect bites while on duty / Treated and released at ER","Closed","D00808",41.784763,-87.604481
"139","Assist Other Agency","1401 E. Hyde Park","9/17/14 5:47 PM","9/17/14 5:47 PM","UCPD officer recovered an unattended car parked on the street that had been reported stolen to CPD / CPD case HX428992","CPD","D00809",41.80242,-87.591852
"140","Theft","933 E. 56th St. (LASR)","9/17/14 5:35 PM","9/17/14 3:30 PM to 5:30 PM","Unknown person took unattended laptop computer and back pack from unsecured room 109 and an unattended laptop computer from unsecured room 112","Open","D00810",41.793117,-87.603014
"141","Theft","5610 S. Drexel (Bright Horizons)","9/16/14 8:53 AM","9/12/14 to 9/15/14 3:00 PM to 11:00 AM","Laptop computer taken from unsecured desk drawer in shared office space","Open","D00806",41.802285,-87.603783
"142","Information","5801 S. Ellis (Levi Hall)","9/16/14 12:24 PM","9/16/14 12:24 PM","Unauthorized individual was issued a trespass warning","Closed","D00807",41.789561,-87.601261
"143","Information","901 E. 58th St.","9/15/14 2:44 AM","9/15/14 2:44 AM","Disorderly, intoxicated individual transported to Jackson Park Hospital for evaluation and treatment","Closed","D00801",41.789532,-87.604365
"144","Theft","900 E. 57th St. (Knapp Center)","9/15/14 2:31 PM","9/15/14 10:25 AM to 2:30 PM","Unattended cell phone left in unsecured lab taken by unknown person","Open","D00802",41.791364,-87.603741
"145","Theft","900 E. 57th St. (Knapp Center)","9/15/14 2:55 PM","9/15/14 1:05 PM to 1:25 PM","Unattended cell phone left in unsecured office cubicle taken by unknown person","Open","D00803",41.791364,-87.603741
"146","Theft","901 E. 58th St. (Mitchell ER)","9/15/14 3:25 PM","9/15/14 10:30 AM 12:30 PM","Cash taken from unattended purse left in unsecured area","Open","D00804",41.912085,-87.640506
"147","Disturbance","5815 S. Maryland (Mitchell Hospital)","9/15/14 7:44 PM","9/15/14 7:20 PM","Individual created a disturbance / Peace restored by UCPD","Closed","D00805",41.789267,-87.604888
"148","Damage to Property / Fire","920 E. 58th St. (Cummings - Exterior)","9/14/14 4:38 PM","9/14/14 4:38 PM","Discarded cigarette caused an exterior fire by melting a small section of water sprinkler line / CFD extinguished fire / No injuries","Closed","D00800",41.78946,-87.603938
"149","Information","1005 E. 55th St.","9/13/14 10:15 AM","9/13/14 10:15 AM","UC owned vehicle involved in traffic accident / Property damage only / No injuries reported","Closed","D00797",41.79494,-87.601244
"150","Non-Criminal Damage to Property","5800 S. Ellis (Pedestrian Plaza)","9/13/14 1:53 PM","9/12/14 to 9/13/14 4:00 PM to 1:30 PM","Flower planter broken / Cause unknown","Closed","D00798",41.916993,-87.637562
"151","Harassing Telephone Calls","5757 S. University","9/11/14 11:09 AM","8/10/12 to 9/11/14 (Various Times)","Individual reports receipt of numerous harassing phone calls from a known person","Open","D00794",41.79039,-87.59798
"152","Information","6054 S. Drexel","9/11/14 3:24 PM","9/11/14 4:35 AM to 3:20 PM","Investigation of suspicious e-mail messages","Open","D00795",41.784763,-87.604481
"153","Battery","5700 S. Maryland (CCD)","9/11/14 8:31 PM","9/11/14 8:10 PM","Individual struck and scratched staff member / Arrest by UCPD","Arrest","D00796",42.003129,-89.549033
"154","Non-Criminal Damage to Property","5840 S. Maryland (Parking Structure)","9/10/14 10:40 AM","9/10/14 9:00 AM to 10:30 AM","Side view mirror of parked vehicle damaged / Cause unknown","Closed","D00791",41.788803,-87.604882
"155","Information / Traffic Accident","6054 S. Drexel","9/10/14 9:21 AM","9/10/14 9:21 AM","Driver of parked car opened door into traffic striking UC owned vehicle in rear quarter panel / CPD case HX422888","CPD","D00792",41.784763,-87.604481
"156","Information / Lost Property","6054 S. Drexel","9/10/14 2:33 PM","9/3/14 to 9/4/14 9:00 AM to 10:00 PM","Staff member lost wallet containing UC IDs / CPD case HX423185","CPD","D00793",41.784763,-87.604481
"157","Theft","5721 S. Maryland (Comer Hospital)","9/9/14 12:35 PM","9/9/14 7:00 AM to 11:50 AM","Unattended cell phone taken from patient's room","Open","D00790",41.790944,-87.604874
"158","Injured Person","1000 E. Midway Pl.","9/8/14 11:15 AM","9/8/14 11:15 AM","Individual tripped and fell while walking on the public way / Twisted ankle, injured right knee and face / Transported to ER by CFD EMS","Closed","D00789",40.560601,-89.61115
"159","Information","5400 S. Ellis","9/7/14 6:02 PM","9/7/14 6:00 PM","Two unknown suspects took property from a victim walking on the sidewalk off campus / Weapon implied but not seen / CPD case HX419525","CPD","D00786",41.797933,-87.60127
"160","Information","54th between Ingleside & Ellis","9/7/14 6:48 PM","9/7/14 6:45 PM","Two unknown suspects took property from two victims walking on the sidewalk off campus / Weapon implied but not seen / CPD case HX419578","CPD","D00787",42.378178,-88.142063
"161","Information","University between 54th & 55th","9/7/14 6:46 PM","9/7/14 6:40 PM","Two unknown suspects attempted to take property from a victim walking on the sidewalk off campus / Suspects fled when a witness approached / Weapon implied but not seen / CPD case HX419564","CPD","D00788",41.802349,-87.598247
"162","Criminal Trespass to Land","5730 S. Drexel (Comer ER)","9/6/14 12:24 AM","9/6/14 12:24 AM","Individual ignored previous warnings not to trespass on University property and was arrested by UCPD","Arrest","D00785",41.790787,-87.603729
"163","Lost Property","6054 S. Drexel","9/2/14 7:30 AM","9/2/14 7:30 AM","Registration sticker missing from license plate of UC owned vehicle","Closed","D00782",41.784763,-87.604481
"164","Information","5700 S. Maryland (CCD)","9/5/14 4:41 PM","9/2/14 to 9/4/14 3:35 PM to 3:30 PM","Individual received harassing text messages on cell phone / Contacted Chicago police / CPD case HX412081","CPD","D00783",42.003129,-89.549033
"165","Injured Person","6054 S. Drexel","9/5/14 8:17 PM","9/2/14 5:30 AM","Officer reports being bitten by a spider while on patrol / Treated and released at Mitchell ER","Closed","D00784",41.784763,-87.604481
"166","Theft","5840 S. Kenwood (Lab School)","9/4/14 1:12 PM","8/22/14 to 9/4/14 6:00 AM to 6:00 AM","Contractor's tools taken from a secured tool box","Open","D00781",41.789383,-87.593238
"167","Theft","5815 S. Maryland (Mitchell Hospital Caf<U+653C><U+3E39>)","9/3/14 10:17 AM","9/3/14 3:00 AM to 4:00 AM","Purse believed stolen from caf,"Unfounded","D00777",41.789267,-87.604888
"168","Information","6031 S. Ellis (SCRH)","9/3/14 10:56 AM","9/3/14 9:00 AM","Contract employee made unauthorized entry to a room / Employee disciplined by employer","Closed","D00778",41.785372,-87.601103
"169","Fire","901 E. 58th St. (Mitchell ER Ambulance Bay)","9/3/14 9:05 PM","9/3/14 9:05 PM","Extension cord in ambulance bay shorted / CFD on scene / Cord replaced","Closed","D00779",41.912085,-87.640506
"170","Theft","5841 S. Maryland (Mitchell Hospital)","9/3/14 11:29 PM","9/3/14 1:30 PM to 9:00 PM","Unknown person took wallet from unattended book bag in unsecured room / Subsequent unauthorized use of credit card reported","Open","D00780",41.788784,-87.604882
"171","Traffic Accident","943 E. 58th St.","9/2/14 9:25 AM","9/2/14 9:25 AM","Truck struck a fixed object (bollard) / Property damage only / MVA00284","Closed","D00774",41.789466,-87.603504
"172","Burglary","58th & Cottage Grove (Construction Site)","9/2/14 1:49 PM","8/29/14 to 9/2/14 2:30 PM to 6:00 AM","Unknown person(s) entered secured construction site and took tools from a ""gang box""","Open","D00775",41.849347,-87.619765
"173","Theft","5700 S. Maryland (CCD)","9/2/14 1:53 PM","4/14/14 12:30 PM","Cell phone placed on counter in cafeteria was taken / Victim discovered identity of the suspect / Suspect returned phone to victim / Victim refused to prosecute","Ex. Cleared","D00776",42.003129,-89.549033
"174","Warrant Arrest","1100 E. Midway Pl.","9/1/14 10:27 PM","9/1/14 10:27 PM","Subsequent to a traffic stop, UCPD officer arrested a motorist for a warrant from Grundy County, IL","Arrest","D00772",40.560601,-89.61115
"175","Information","1150 E. 58th St. (Saieh Hall)","9/1/14 11:11 PM","9/1/14 11:11 PM","Exterior door would not properly secure / Facilities Dept. notified / Special attention by UCPD","Closed","D00773",41.789686,-87.597792
"176","Lost Property","901 E. 58th St. (Mitchell)","8/31/14 11:27 PM","8/27/14 to 8/29 14 8:30 PM to 8:00 PM","Patient lost purse during hospital stay","Closed","D00771",41.789532,-87.604365
"177","Information","6054 S. Drexel (UCPD)","8/30/14 9:12 AM","8/30/14 9:12 AM to 9:45 AM","Phone service on campus, including UCPD phone lines, was interrupted / c-alert issued / Service restored at 9:45 AM","Closed","D00769",41.802285,-87.603783
"178","Theft","5700 S. Maryland (CCD)","8/30/14 6:24 PM","8/30/14 11:15 AM to 1:15 PM","Handbag taken from unsecured locker in secured staff locker room / Property was located by the owner intact / Unfounded","Unfounded","D00770",42.003129,-89.549033
"179","Theft","1100 E. 58th St. (Ryerson)","8/29/14 2:57 PM","8/26/14 to 8/29/14 12:00 PM to 9:00 AM","Unknown person took unattended laptop computer from desk top in secured, shared office","Open","D00768",41.789593,-87.599176
"180","Theft","5530 S. Ellis (Ratner A.C. Bike Rack)","8/27/14 5:44 PM","8/27/14 1:00 PM to 6:40 PM","Unknown person took secured bicycle from bike rack","Open","D00767",41.794467,-87.601449
"181","Theft","821 E. 55th St. (Stagg Field)","8/26/14 10:05 AM","8/22/14 to 8/26/14 12:00 PM to 10:05 AM","Unknown person(s) took 7 light fixtures","Open","D00762",41.794892,-87.605714
"182","Injured Person","821 E. 55th St. (Stagg Field)","8/26/14 10:43 AM","8/26/14 10:35 AM","Individual injured a leg at football practice / Transported to ER by CFD EMS","Closed","D00763",41.794892,-87.605714
"183","Information","6045 S. Kenwood (Toyota Tech. Inst.)","8/26/14 10:36 AM","8/25/14 to 8/26/14 10:45 PM to 10:25 AM","Harassing email messages from an acquaintance","Closed","D00764",41.78458,-87.592981
"184","Lost Property","901 E. 58th St. (Mitchell ER)","8/26/14 12:08 PM","8/23/14 to8/25/14 2:30 PM to 5:00 PM","Patient lost cash from a purse","Closed","D00765",41.912085,-87.640506
"185","Lost Property","5721 S. Maryland (Comer Hospital)","8/26/14 10:00 PM","8/26/14 9:30 PM to 9:45 PM","Individual reported loss of cell phone","Closed","D00766",41.790944,-87.604874
"186","Non Criminal Damage to Property","5640 S. University (Bartlett)","8/24/14 2:17 PM","8/23/14 to 8/24/14 11:30 AM to 9:00 AM","Damage reported to newly refinished kitchen area floor","Closed","D00760",41.792504,-87.59818
"187","Assist Other Agency","Ellis between 54th & 55th","8/23/14 4:27 PM","8/23/14 4:24 PM","UCPD officers detained a suspect who had forcibly entered an apartment off campus and took property / Suspect arrested by CPD and charged with burglary / CPD case HX399603","CPD","D00758",41.795634,-87.616917
"188","Aggravated Battery","901 E. 58th St. (Mitchell ER)","8/23/14 6:27 PM","8/23/13 6:25 PM","Individual being escorted from ER after causing a disturbance, resisted and struck UCPD officer","Arrest","D00759",41.912085,-87.640506
"189","Elevator Entrapment","5801 S. Dorchester (Cloisters)","8/22/14 7:50 AM","8/22/14 7:50 AM","Individual freed from stuck elevator / CFD and UC Facilities on the scene","Closed","D00752",41.789651,-87.591554
"190","Found Property","915 E. 60th St. (Logan Center)","8/22/14 10:47 AM","2/22/14 12:00 PM","Bicycle found and stored at Logan Center turned over to UCPD for safekeeping","Closed","D00753",41.785824,-87.603899
"191","Assist Other Agency","1320 E. 62nd St.","8/22/14 3:04 PM","8/22/14 3:04 PM","UCPD officers detained three individuals seen taking items from a vehicle parked on the street / Suspects arrested by CPD and charged with burglary to a motor vehicle/ CPD case HX398269","CPD","D00754",41.782365,-87.593893
"192","Theft","850 E. 58th St. (American School Bldg.)","8/22/14 4:57 PM","8/22/14 12:00 PM to 4:00 PM","Unattended i-Pad taken from desk top in unsecured office","Open","D00755",41.941767,-87.652144
"193","Lost Property","901 E. 58th St. (Mitchell ER)","8/22/14 6:57 PM","8/21/14 to 8/22/14 9:50 PM to 8:00 AM","Patient reports losing coin purse","Closed","D00756",41.912085,-87.640506
"194","Lost Property","Ellis between 58th & 55th","8/22/14 7:52 PM","8/22/14 4:30 PM to 6:30 PM","Report of lost wallet","Closed","D00757",41.789283,-87.619897
"195","Possession of Cannabis","5500 S. Cottage Grove","8/21/14 4:58 AM","8/21/14 4:58 AM","Pursuant to a traffic stop, UCPD officers arrested a motorist for possession of marijuana","Arrest","D00749",41.794964,-87.606215
"196","Aggravated Battery","5700 S. Maryland (CCD)","8/21/14 2:57 PM","8/21/14 12:15 PM","Individual struck a patient / Arrested by UCPD officers","Arrest","D00750",42.003129,-89.549033
"197","Traffic Violation","6100 S. Drexel","8/21/14 9:19 PM","8/21/14 9:19 PM","UCPD officer arrested a motorist for improper registration of a motor vehicle","Arrest","D00751",41.784078,-87.604387
"198","Assist Other Agency","923 E. 45th St.","8/18/14 12:47 PM","8/18/14 12:44 PM","UCPD officers detained two suspects who used force in an attempt to take a cell phone from a victim on the public way off campus / CPD officers arrested a third suspect / CPD case HX 392537","CPD","D00747",41.813134,-87.60349
